desc,address,link,price,bedrooms,bathrooms,toilets,parking space,location,Estate,ppty_type
1 bedroom mini flat (room and parlour) for rent,"Off Orchid Hotel Road, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/2244421-luxury-serviced-room-and-parlor,1700000.0,1.0,1.0,2.0,2.0,Lekki,"Road, Hotel",mini flat
1 bedroom mini flat (room and parlour) for rent,"Off Orchid Hotel Road, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/2244416-newly-renovated-room-and-parlor,1900000.0,1.0,1.0,2.0,2.0,Lekki,"Road, Hotel",mini flat
2 bedroom flat / apartment for rent,"Chief Rotimi Williams Estate Kay Farm Obawole Ifako Ijaye Lga, Ogba, Ikeja, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ikeja/ogba/2244400-newly-built-executive-2-bedrooms-flat,2000000.0,2.0,2.0,3.0,2.0,Ikeja,"Ogba, Lga,",flat 
2 bedroom semi-detached duplex for rent,"Chevron, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/houses/semi-detached-duplexes/lagos/lekki/2244362-newly-built-2-bedroom-semi-detached-duplex-with-a-bq,5000000.0,2.0,2.0,3.0,3.0,Lekki,,semi-detached duplex
3 bedroom flat / apartment for rent,"Ikoyi, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ikoyi/2244301-exquisite-3-bedroom-duplex,20000000.0,3.0,3.0,4.0,2.0,Ikoyi,,flat 
1 bedroom mini flat (room and parlour) for rent,"Alatishe Ibeju Lekki Lagos, Ibeju Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki-ibeju/2244295-luxurious-newly-built-room-and-parlour,400000.0,1.0,1.0,2.0,2.0,Lekki,"Ibeju Lagos,",mini flat
1 bedroom mini flat (room and parlour) for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/lekki-phase-1/2244279-tastefully-finished-1-bedroom-apartment,2800000.0,1.0,1.0,1.0,1.0,Lekki,"1, Phase",mini flat
2 bedroom house for rent,"Ilasan, Ikate Elegushi, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/houses/lagos/lekki/ikate-elegushi/2244255-2-bedroom-flat,6000000.0,2.0,2.0,3.0,3.0,Lekki,"Elegushi, Ikate",house 
2 bedroom flat / apartment for rent,"VGC, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/victoria-garden-city/2244238-exquisitely-finished-and-furnished-2-bedroom-apartment,5000000.0,2.0,2.0,3.0,2.0,Lekki,,flat 
1 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/ikate/2244224-1-bedroom,3000000.0,1.0,1.0,2.0,1.0,Lekki,,flat 
1 bedroom mini flat (room and parlour) for rent,"Yaba, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/yaba/2244200-decent-fine-mini-flat-parking-space,700000.0,1.0,1.0,1.0,1.0,Yaba,,mini flat
3 bedroom flat / apartment for rent,"Oniru, Victoria Island (VI), Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/victoria-island/oniru/2238196-three-bedroom-furnished-flat,12000000.0,3.0,3.0,4.0,2.0,(VI),Island Victoria,flat 
3 bedroom flat / apartment for rent,"235 Kusenla Road, Ikate, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/ikate/2231993-fully-furnished-3-bedroom-monthly-shared-apartment,5000000.0,3.0,3.0,4.0,2.0,Lekki,"Ikate, Road,",flat 
2 bedroom flat / apartment for rent,"Bariga, Bariga, Shomolu, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/shomolu/bariga/2244189-newly-built-standard-2-bedroom-apartments,1800000.0,2.0,2.0,3.0,2.0,Shomolu,"Bariga, Bariga,",flat 
3 bedroom flat / apartment for rent,"Igbo Efon, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/igbo-efon/2244188-luxury-3-bedrooms,3000000.0,3.0,3.0,4.0,3.0,Lekki,"Efon, Igbo",flat 
1 bedroom mini flat (room and parlour) for rent,"Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/ajah/2244185-brand-new-one-bedroom-apartment,1000000.0,1.0,1.0,2.0,1.0,Ajah,,mini flat
2 bedroom flat / apartment for rent,"Off Mobil Road Ilaje Ajah, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/2244158-a-standard-2-bedroom-apartment,1500000.0,2.0,2.0,3.0,2.0,Lekki,"Ajah, Ilaje",flat 
1 bedroom house for rent,"Igbo Efon, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/houses/lagos/lekki/2244154-mini-flat,2000000.0,1.0,1.0,2.0,2.0,Lekki,"Efon, Igbo",house 
3 bedroom terraced duplex for rent,"Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/houses/terraced-duplexes/lagos/lekki/1973966-tastefully-finished-3-bedroom-terraced-duplex,4000000.0,3.0,3.0,4.0,2.0,Lekki,"Road, Orchid",terraced duplex
3 bedroom flat / apartment for rent,"Gra, Ikota, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/ikota/2244107-standard-3-bedroom-apartment-downstairs,2500000.0,3.0,3.0,4.0,2.0,Lekki,"Ikota, Gra,",flat 
1 bedroom flat / apartment for rent,"Ocean Bay Estate Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/2244095-shared-apartment-large-and-spacious-room-in-a-3bedroom-duplex,800000.0,1.0,1.0,1.0,2.0,Lekki,"Road, Orchid",flat 
